tweet_id,text,created_at,lang,user_id_hashed,retweet_count,like_count,comment_count,is_reply,reply_to_id,is_retweet,is_quote,urls,hashtags,mentions,media,text_cleaned,text_length,word_count,urls_count,hashtags_count,mentions_count,media_count,date,hour,day_of_week,total_engagement,cleaned_text,neg_score,neu_score,pos_score,compound_score,sentiment
1412413805473247237,Kapag lumabas yung #PanggaRemix bukas sa birthday ni Jah e di happy. Eyyy haha #KENTIN,2021-07-06 14:11:00,tl,36f111be52d9886c,0,0,0,False,,False,True,[],"[""#PanggaRemix"", ""#KENTIN""]",[],[],kapag lumabas yung panggaremix bukas sa birthday ni jah e di happy. eyyy haha kentin,84,15,0,2,0,0,2021-07-06,14,Tuesday,0,kapag lumabas yung panggaremix bukas sa birthday ni jah e di happy eyyy haha kentin,0.0,0.642,0.358,0.7717,positive
1412325057808900097,Triple kill. hahaha lels,2021-07-06 08:18:00,et,36f111be52d9886c,0,0,0,False,,False,True,[],[],[],[],triple kill. hahaha lels,24,4,0,0,0,0,2021-07-06,8,Tuesday,0,triple kill hahaha lels,0.456,0.194,0.35,-0.2732,negative
1412321292859052040,"Tara na sa premiere! piped.video/TtOzMulmYuo

TheJuans CokeStudioDay2
#PaubayaxHatidxHindiTayoPwede",2021-07-06 08:03:00,en,36f111be52d9886c,0,101,0,False,,True,False,"[""https://piped.video/TtOzMulmYuo""]","[""#PaubayaxHatidxHindiTayoPwede""]",[],[],tara na sa premiere! piped.videottozmulmyuo thejuans cokestudioday2 paubayaxhatidxhinditayopwede,96,8,1,1,0,0,2021-07-06,8,Tuesday,101,tara na sa premiere pipedvideottozmulmyuo thejuans cokestudioday paubayaxhatidxhinditayopwede,0.0,1.0,0.0,0.0,neutral
1375247886045212673,di pa nababakunahan ang mga dapat mabakunahan kasi may bakUNAHAN,2021-03-26 00:47:00,tl,36f111be52d9886c,0,3,0,False,,True,False,[],[],[],[],di pa nababakunahan ang mga dapat mabakunahan kasi may bakunahan,64,10,0,0,0,0,2021-03-26,0,Friday,3,di pa nababakunahan ang mga dapat mabakunahan kasi may bakunahan,0.0,1.0,0.0,0.0,neutral
1337406877303336960,#IStandWithNadine,2020-12-11 14:40:00,en,36f111be52d9886c,0,0,0,False,,False,True,[],"[""#IStandWithNadine""]",[],[],istandwithnadine,16,1,0,1,0,0,2020-12-11,14,Friday,0,istandwithnadine,0.0,1.0,0.0,0.0,neutral
1324252643066175488,"with shownu oppaa!
((aku ngga tau uname oppa yg shownu 😭😭😭))",2020-11-05 07:30:00,id,36f111be52d9886c,0,1,1,False,,True,False,[],[],[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FEmCwsseU4AAS02N.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",with shownu oppaa! aku ngga tau uname oppa yg shownu,52,10,0,0,0,1,2020-11-05,7,Thursday,2,with shownu oppaa aku ngga tau uname oppa yg shownu,0.0,1.0,0.0,0.0,neutral
1322560431756513281,#NadineXBjPascual,2020-10-31 15:25:00,ro,36f111be52d9886c,0,0,0,False,,False,True,[],"[""#NadineXBjPascual""]",[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FElpuqA5U8AAcDbK.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",nadinexbjpascual,16,1,0,1,0,1,2020-10-31,15,Saturday,0,nadinexbjpascual,0.0,1.0,0.0,0.0,neutral
1322544211216879616,#NadineWDVisualAlbum,2020-10-31 14:21:00,id,36f111be52d9886c,1,1,0,False,,False,True,[],"[""#NadineWDVisualAlbum""]",[],[],nadinewdvisualalbum,19,1,0,1,0,0,2020-10-31,14,Saturday,2,nadinewdvisualalbum,0.0,1.0,0.0,0.0,neutral
1243113569631137793,Senate of the Philippines: Expel Koko Pimentel from the Senate and Charge Him with Violation of RA9271 and RA11332 - Sign the Petition! chng.it/xgKMK8ZJ via @ChangePilipinas,2020-03-26 09:52:00,en,36f111be52d9886c,0,0,0,False,,False,False,"[""http://chng.it/xgKMK8ZJ""]",[],[],[],senate of the philippines expel koko pimentel from the senate and charge him with violation of ra9271 and ra11332 - sign the petition! chng.itxgkmk8zj via,154,25,1,0,0,0,2020-03-26,9,Thursday,0,senate of the philippines expel koko pimentel from the senate and charge him with violation of ra and ra sign the petition chngitxgkmkzj via,0.217,0.783,0.0,-0.7269,negative
1181902128295616512,Want to see how Nadine Lustre faced her hesitations? Let’s get #SeeWhatHappensNadine to 1K tweets to reveal her inspiring video!,2019-10-09 12:00:00,en,36f111be52d9886c,0,1807,96,False,,True,False,[],"[""#SeeWhatHappensNadine""]",[],[],want to see how nadine lustre faced her hesitations? lets get seewhathappensnadine to 1k tweets to reveal her inspiring video!,126,20,0,1,0,0,2019-10-09,12,Wednesday,1903,want to see how nadine lustre faced her hesitations lets get seewhathappensnadine to k tweets to reveal her inspiring video,0.095,0.721,0.185,0.25,positive
